Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Roots, Other",Protein supply quantity (g/capita/day),g/cap/d,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.04,0.08,0.09,0.11
Sesameseed Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorghum and products,Protein supply quantity (g/capita/day),g/cap/d,0.18,0.15,0.13,0.12,0.12,0.19,0.29,0.15,0.18,0.12,0.09,0.06,0.05,0.04
Soyabean Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyabeans,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Spices, Other",Protein supply quantity (g/capita/day),g/cap/d,0.16,0.13,0.16,0.15,0.18,0.2,0.18,0.17,0.17,0.16,0.18,0.23,0.2,0.2
Sugar (Raw Equivalent),Protein supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01
Sugar cane,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.01,0.01
Sugar non-centrifugal,Protein supply quantity (g/capita/day),g/cap/d,0.05,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.03,0.01,0.03
Sunflowerseed Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweet potatoes,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sweeteners, Other",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tea (including mate),Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tomatoes and products,Protein supply quantity (g/capita/day),g/cap/d,0.06,0.07,0.09,0.09,0.09,0.09,0.08,0.06,0.07,0.08,0.09,0.11,0.11,0.1
"Vegetables, other",Protein supply quantity (g/capita/day),g/cap/d,0.65,0.54,0.53,0.55,0.53,0.58,0.72,1.02,1.05,0.99,0.79,0.82,0.72,0.7
Wheat and products,Protein supply quantity (g/capita/day),g/cap/d,32.48,27.73,30.24,30.05,28.09,28.18,28.45,29.0,28.65,30.49,30.88,31.6,30.95,30.95
Wine,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yams,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apples and products,Fat supply quantity (g/capita/day),g/cap/d,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03
"Aquatic Animals, Others",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bananas,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barley and products,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beans,Fat supply quantity (g/capita/day),g/cap/d,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.07,0.07,0.05,0.05
Beer,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beverages, Alcoholic",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beverages, Fermented",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bovine Meat,Fat supply quantity (g/capita/day),g/cap/d,1.79,1.81,1.82,1.86,1.89,1.91,1.97,2.26,2.3,2.32,2.35,2.4,2.17,2.18
"Butter, Ghee",Fat supply quantity (g/capita/day),g/cap/d,10.4,10.47,10.6,10.75,11.77,11.95,11.56,11.73,11.88,12.65,12.16,12.29,12.43,12.6
Cassava and products,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cereals, other",Fat supply quantity (g/capita/day),g/cap/d,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Citrus, Other",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
Cloves,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocoa Beans and products,Fat supply quantity (g/capita/day),g/cap/d,0.01,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.02
Coconut Oil,Fat supply quantity (g/capita/day),g/cap/d,0.12,0.12,0.11,0.11,,,,,,,,0.02,0.02,0.02
Coconuts - Incl Copra,Fat supply quantity (g/capita/day),g/cap/d,0.07,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03
Coffee and products,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottonseed Oil,Fat supply quantity (g/capita/day),g/cap/d,4.63,4.62,5.01,4.95,3.32,3.28,2.36,2.33,2.41,1.9,1.4,2.32,1.55,1.91
Cream,Fat supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Crustaceans,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dates,Fat supply quantity (g/capita/day),g/cap/d,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
Demersal Fish,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggs,Fat supply quantity (g/capita/day),g/cap/d,0.59,0.63,0.63,0.64,0.67,0.68,0.72,0.76,0.79,0.81,0.84,0.88,0.92,0.96
"Fats, Animals, Raw",Fat supply quantity (g/capita/day),g/cap/d,1.97,2.04,1.92,1.64,1.83,1.79,1.77,2.08,2.08,1.92,1.91,1.93,1.88,1.84
"Fish, Liver Oil",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freshwater Fish,Fat supply quantity (g/capita/day),g/cap/d,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.09,0.09,0.09,0.09,0.09
"Fruits, other",Fat supply quantity (g/capita/day),g/cap/d,0.23,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.09,0.1,0.09
Grapefruit and products,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grapes and products (excl wine),Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
Groundnut Oil,Fat supply quantity (g/capita/day),g/cap/d,0.27,0.28,0.21,0.25,0.27,0.33,0.28,0.32,0.23,0.2,0.27,0.29,0.25,0.28
Groundnuts,Fat supply quantity (g/capita/day),g/cap/d,0.09,0.09,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1
Honey,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infant food,Fat supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.01
"Lemons, Limes and products",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maize Germ Oil,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.0,0.0
Maize and products,Fat supply quantity (g/capita/day),g/cap/d,0.43,0.54,0.49,0.49,0.46,0.46,0.36,0.36,0.38,0.35,0.42,0.53,0.41,0.47
"Marine Fish, Other",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meat, Other",Fat supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Milk - Excluding Butter,Fat supply quantity (g/capita/day),g/cap/d,15.15,14.86,15.07,14.08,14.64,14.57,16.06,16.37,16.65,18.11,17.17,17.78,18.06,18.37
Millet and products,Fat supply quantity (g/capita/day),g/cap/d,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.05,0.04,0.05,0.05
Miscellaneous,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Molluscs, Other",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mutton & Goat Meat,Fat supply quantity (g/capita/day),g/cap/d,0.55,0.55,0.55,0.56,0.56,0.56,0.57,0.81,0.81,0.8,0.8,0.8,0.81,0.8
Nuts and products,Fat supply quantity (g/capita/day),g/cap/d,0.16,0.15,0.17,0.14,0.13,0.19,0.22,0.21,0.14,0.13,0.17,0.17,0.13,0.17
Oats,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Offals, Edible",Fat supply quantity (g/capita/day),g/cap/d,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.27,0.27,0.28,0.28,0.28,0.28,0.28
"Oilcrops Oil, Other",Fat supply quantity (g/capita/day),g/cap/d,0.59,0.58,0.55,0.55,10.01,10.08,9.84,9.5,9.25,8.99,8.69,0.42,0.38,0.39
Olive Oil,Fat supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.02
Olives (including preserved),Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onions,Fat supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Oranges, Mandarines",Fat supply quantity (g/capita/day),g/cap/d,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Palm Oil,Fat supply quantity (g/capita/day),g/cap/d,19.46,21.24,23.31,21.67,17.23,22.65,19.87,23.88,24.1,27.25,25.6,31.21,26.95,28.3
Palmkernel Oil,Fat supply quantity (g/capita/day),g/cap/d,0.14,0.13,0.1,0.11,0.12,0.1,0.14,0.12,0.15,0.09,0.06,0.09,0.07,0.03
Peas,Fat supply quantity (g/capita/day),g/cap/d,0.03,0.03,0.04,0.04,0.05,0.09,0.09,0.06,0.04,0.05,0.11,0.14,0.06,0.05
Pelagic Fish,Fat supply quantity (g/capita/day),g/cap/d,0.05,0.06,0.05,0.05,0.07,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.07,0.06
Pepper,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
Pigmeat,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pimento,Fat supply quantity (g/capita/day),g/cap/d,0.26,0.08,0.2,0.18,0.19,0.19,0.18,0.17,0.18,0.12,0.18,0.13,0.17,0.12
Pineapples and products,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plantains,Fat supply quantity (g/capita/day),g/cap/d,,,,,,,,0.0,,,,,,
Potatoes and products,Fat supply quantity (g/capita/day),g/cap/d,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.06,0.07
Poultry Meat,Fat supply quantity (g/capita/day),g/cap/d,0.78,0.83,0.89,0.95,1.01,1.09,1.17,1.26,1.34,1.44,1.54,1.65,1.78,1.91
"Pulses, Other and products",Fat supply quantity (g/capita/day),g/cap/d,0.6,0.62,0.43,0.59,0.37,0.36,0.34,0.57,0.56,0.55,0.48,0.24,0.45,0.61
Rape and Mustard Oil,Fat supply quantity (g/capita/day),g/cap/d,3.85,3.74,3.36,2.54,1.53,1.13,1.62,2.21,2.05,2.37,2.45,3.39,3.24,4.99
Rape and Mustardseed,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Rice and products,Fat supply quantity (g/capita/day),g/cap/d,0.24,0.62,0.34,0.58,0.46,0.67,0.36,0.44,0.32,0.13,0.21,0.28,0.25,0.21
Ricebran Oil,Fat supply quantity (g/capita/day),g/cap/d,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.06,0.08
"Roots, Other",Fat supply quantity (g/capita/day),g/cap/d,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,0.04,0.07,0.08,0.09
Sesameseed Oil,Fat supply quantity (g/capita/day),g/cap/d,0.02,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02
Sorghum and products,Fat supply quantity (g/capita/day),g/cap/d,0.05,0.04,0.03,0.03,0.03,0.05,0.08,0.04,0.05,0.03,0.02,0.02,0.01,0.01
Soyabean Oil,Fat supply quantity (g/capita/day),g/cap/d,0.3,0.65,0.52,0.62,0.9,1.13,1.74,4.42,5.31,5.34,5.13,5.25,5.15,2.97
Soyabeans,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Spices, Other",Fat supply quantity (g/capita/day),g/cap/d,0.13,0.1,0.13,0.11,0.15,0.17,0.15,0.14,0.14,0.13,0.15,0.2,0.16,0.16
Sugar (Raw Equivalent),Fat supply quantity (g/capita/day),g/cap/d,0.07,0.07,0.07,0.04,0.05,0.02,0.1,0.07,0.04,0.07,0.07,0.05,0.04,0.05
Sugar cane,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.01,0.01
Sugar non-centrifugal,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunflowerseed Oil,Fat supply quantity (g/capita/day),g/cap/d,2.03,2.2,2.06,2.4,1.11,0.63,0.05,0.0,0.1,0.05,0.07,0.44,0.48,0.55
Sweet potatoes,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sweeteners, Other",Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tea (including mate),Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomatoes and products,Fat supply quantity (g/capita/day),g/cap/d,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02
"Vegetables, other",Fat supply quantity (g/capita/day),g/cap/d,0.1,0.08,0.08,0.08,0.08,0.09,0.12,0.21,0.21,0.19,0.11,0.1,0.09,0.09
Wheat and products,Fat supply quantity (g/capita/day),g/cap/d,5.26,4.49,4.88,4.84,4.52,4.55,4.59,4.68,4.62,4.91,4.96,5.08,4.97,4.97
Wine,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yams,Fat supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
