Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2021,2021,g/cap/d,5.08,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2022,2022,kg/cap,108.69,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2022,2022,g/cap/d,30.95,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2022,2022,g/cap/d,4.97,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2023,2023,kg/cap,108.66,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2023,2023,g/cap/d,30.95,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2023,2023,g/cap/d,4.97,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2010,2010,kg/cap,13.17,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2010,2010,g/cap/d,1.8,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2010,2010,g/cap/d,0.24,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2011,2011,kg/cap,35.19,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2011,2011,g/cap/d,4.8,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2011,2011,g/cap/d,0.62,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2012,2012,kg/cap,19,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2012,2012,g/cap/d,2.6,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2012,2012,g/cap/d,0.34,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2013,2013,kg/cap,33.33,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2013,2013,g/cap/d,4.54,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2013,2013,g/cap/d,0.58,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2014,2014,kg/cap,26.71,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2014,2014,g/cap/d,3.64,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2014,2014,g/cap/d,0.46,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2015,2015,kg/cap,38.37,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2015,2015,g/cap/d,5.24,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2015,2015,g/cap/d,0.67,E,Estimated value,
