Country ISO3,Year,Indicator Name,Indicator Code,Value
PAK,1990,Income share held by fourth 20%,SI.DST.04TH.20,21.6
PAK,1987,Income share held by fourth 20%,SI.DST.04TH.20,21.2
PAK,2018,Income share held by highest 20%,SI.DST.05TH.20,39.6
PAK,2015,Income share held by highest 20%,SI.DST.05TH.20,41
PAK,2013,Income share held by highest 20%,SI.DST.05TH.20,39.4
PAK,2011,Income share held by highest 20%,SI.DST.05TH.20,39.8
PAK,2010,Income share held by highest 20%,SI.DST.05TH.20,38.9
PAK,2007,Income share held by highest 20%,SI.DST.05TH.20,39.8
PAK,2005,Income share held by highest 20%,SI.DST.05TH.20,41.1
PAK,2004,Income share held by highest 20%,SI.DST.05TH.20,40.6
PAK,2001,Income share held by highest 20%,SI.DST.05TH.20,38.8
PAK,1998,Income share held by highest 20%,SI.DST.05TH.20,42.4
PAK,1996,Income share held by highest 20%,SI.DST.05TH.20,39
PAK,1990,Income share held by highest 20%,SI.DST.05TH.20,41.8
PAK,1987,Income share held by highest 20%,SI.DST.05TH.20,42.2
PAK,2018,Income share held by highest 10%,SI.DST.10TH.10,25.5
PAK,2015,Income share held by highest 10%,SI.DST.10TH.10,27
PAK,2013,Income share held by highest 10%,SI.DST.10TH.10,25.3
PAK,2011,Income share held by highest 10%,SI.DST.10TH.10,25.8
PAK,2010,Income share held by highest 10%,SI.DST.10TH.10,25.1
PAK,2007,Income share held by highest 10%,SI.DST.10TH.10,25.7
PAK,2005,Income share held by highest 10%,SI.DST.10TH.10,27.1
PAK,2004,Income share held by highest 10%,SI.DST.10TH.10,26.3
PAK,2001,Income share held by highest 10%,SI.DST.10TH.10,24.9
PAK,1998,Income share held by highest 10%,SI.DST.10TH.10,28.5
PAK,1996,Income share held by highest 10%,SI.DST.10TH.10,25.2
PAK,1990,Income share held by highest 10%,SI.DST.10TH.10,27.1
PAK,1987,Income share held by highest 10%,SI.DST.10TH.10,27.6
PAK,2018,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.4
PAK,2015,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.8
PAK,2013,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.1
PAK,2011,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.1
PAK,2010,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3
PAK,2007,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.1
PAK,2005,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.6
PAK,2004,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.5
PAK,2001,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3.5
PAK,1998,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.5
PAK,1996,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,3
PAK,1990,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9.3
PAK,1987,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,7.5
PAK,2018,Income share held by lowest 10%,SI.DST.FRST.10,4.2
PAK,2015,Income share held by lowest 10%,SI.DST.FRST.10,4.1
PAK,2013,Income share held by lowest 10%,SI.DST.FRST.10,4.2
PAK,2011,Income share held by lowest 10%,SI.DST.FRST.10,4.3
PAK,2010,Income share held by lowest 10%,SI.DST.FRST.10,4.3
PAK,2007,Income share held by lowest 10%,SI.DST.FRST.10,4.3
PAK,2005,Income share held by lowest 10%,SI.DST.FRST.10,4.1
PAK,2004,Income share held by lowest 10%,SI.DST.FRST.10,3.9
PAK,2001,Income share held by lowest 10%,SI.DST.FRST.10,4.3
PAK,1998,Income share held by lowest 10%,SI.DST.FRST.10,3.7
PAK,1996,Income share held by lowest 10%,SI.DST.FRST.10,4.4
PAK,1990,Income share held by lowest 10%,SI.DST.FRST.10,3.4
PAK,1987,Income share held by lowest 10%,SI.DST.FRST.10,3.5
PAK,2018,Income share held by lowest 20%,SI.DST.FRST.20,9.6
PAK,2015,Income share held by lowest 20%,SI.DST.FRST.20,9.3
PAK,2013,Income share held by lowest 20%,SI.DST.FRST.20,9.5
PAK,2011,Income share held by lowest 20%,SI.DST.FRST.20,9.7
PAK,2010,Income share held by lowest 20%,SI.DST.FRST.20,9.9
PAK,2007,Income share held by lowest 20%,SI.DST.FRST.20,9.7
PAK,2005,Income share held by lowest 20%,SI.DST.FRST.20,9.3
PAK,2004,Income share held by lowest 20%,SI.DST.FRST.20,9.2
PAK,2001,Income share held by lowest 20%,SI.DST.FRST.20,9.8
PAK,1998,Income share held by lowest 20%,SI.DST.FRST.20,8.7
PAK,1996,Income share held by lowest 20%,SI.DST.FRST.20,10
PAK,1990,Income share held by lowest 20%,SI.DST.FRST.20,8.1
PAK,1987,Income share held by lowest 20%,SI.DST.FRST.20,8.3
PAK,2018,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,16.5
PAK,2015,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,16.9
PAK,2013,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,21.2
PAK,2011,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,25.9
PAK,2010,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,26.7
PAK,2007,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,34.9
PAK,2005,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,40.8
PAK,2004,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,40.9
PAK,2001,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,56.2
PAK,1998,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,50.3
PAK,1996,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,45.3
PAK,1990,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,79.5
PAK,1987,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,80.6
PAK,2018,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,2.7
PAK,2015,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,2.8
PAK,2013,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,3.8
PAK,2011,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,4.8
PAK,2010,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,4.8
PAK,2007,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,7.2
PAK,2005,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,9.5
PAK,2004,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,9.7
PAK,2001,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,15.3
PAK,1998,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,13.8
PAK,1996,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,10.4
PAK,1990,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,34
PAK,1987,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,35.1
PAK,2018,Gini index,SI.POV.GINI,29.6
PAK,2015,Gini index,SI.POV.GINI,31.3
PAK,2013,Gini index,SI.POV.GINI,29.5
PAK,2011,Gini index,SI.POV.GINI,29.7
PAK,2010,Gini index,SI.POV.GINI,28.8
PAK,2007,Gini index,SI.POV.GINI,29.7
PAK,2005,Gini index,SI.POV.GINI,31.3
PAK,2004,Gini index,SI.POV.GINI,30.9
PAK,2001,Gini index,SI.POV.GINI,28.7
PAK,1998,Gini index,SI.POV.GINI,33.1
PAK,1996,Gini index,SI.POV.GINI,28.7
PAK,1990,Gini index,SI.POV.GINI,33.2
PAK,1987,Gini index,SI.POV.GINI,33.3
PAK,2018,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,44.7
PAK,2015,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,44.8
PAK,2013,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,49.3
PAK,2011,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,55.9
PAK,2010,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,57.2
PAK,2007,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,64.7
PAK,2005,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,69
PAK,2004,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,68.5
PAK,2001,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,80
PAK,1998,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,74.9
PAK,1996,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,73.6
PAK,1990,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,90.9
PAK,1987,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,91.1
PAK,2018,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,10.7
PAK,2015,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,10.9
PAK,2013,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,12.9
PAK,2011,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,15.4
PAK,2010,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,15.7
PAK,2007,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,19.7
PAK,2005,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,22.9
PAK,2004,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,23
PAK,2001,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,30.9
PAK,1998,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,28.2
PAK,1996,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,24.9
PAK,1990,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,48.9
PAK,1987,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,49.8
PAK,2018,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.9
PAK,2015,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,24.3
PAK,2013,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,29.5
PAK,2011,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,36.3
PAK,2010,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,36.8
PAK,2007,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,44.1
PAK,2005,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,50.4
PAK,2004,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,51.7
PAK,2001,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,64.3
PAK,2018,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,88.4
PAK,2015,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,87.4
PAK,2013,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,90
PAK,2011,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,91.8
PAK,2010,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,92.7
PAK,2007,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,93.6
